"Session_ID","Code_name","Group","N","NASA_Matrix.question_id","NASA_Matrix.question_type","NASA_Matrix.response"
"fds","fds","fds","fds",box_of_matches,matrix,15
"fds","fds","fds","fds",food_concentrate,matrix,15
"fds","fds","fds","fds",50_feet_of_nylon_rope,matrix,15
"fds","fds","fds","fds",parachute_silk,matrix,15
"fds","fds","fds","fds",portable_heating_unit,matrix,15
"fds","fds","fds","fds",two_45_caliber_pistol,matrix,15
"fds","fds","fds","fds",one_case_of_dehydrated_milk,matrix,15
"fds","fds","fds","fds",two_100_lb_tanks_of_oxygen,matrix,15
"fds","fds","fds","fds",stellar_map,matrix,15
"fds","fds","fds","fds",selfinflating_life_raft,matrix,15
"fds","fds","fds","fds",magnetic_compass,matrix,15
"fds","fds","fds","fds",20_liters_of_water,matrix,15
"fds","fds","fds","fds",signal_flares,matrix,15
"fds","fds","fds","fds",first_aid_kit_including_injection_needle,matrix,15
"fds","fds","fds","fds",solarpowered_fm_receivertransmitter,matrix,15
