"Session_ID","Code_name","Group","N","NASA_Matrix.question_id","NASA_Matrix.question_type","NASA_Matrix.response"
"CRN19302","secret_alias","B","15",box_of_matches,matrix,1
"CRN19302","secret_alias","B","15",food_concentrate,matrix,2
"CRN19302","secret_alias","B","15",50_feet_of_nylon_rope,matrix,3
"CRN19302","secret_alias","B","15",parachute_silk,matrix,4
"CRN19302","secret_alias","B","15",portable_heating_unit,matrix,5
"CRN19302","secret_alias","B","15",two_45_caliber_pistol,matrix,6
"CRN19302","secret_alias","B","15",one_case_of_dehydrated_milk,matrix,7
"CRN19302","secret_alias","B","15",two_100_lb_tanks_of_oxygen,matrix,8
"CRN19302","secret_alias","B","15",stellar_map,matrix,9
"CRN19302","secret_alias","B","15",selfinflating_life_raft,matrix,10
"CRN19302","secret_alias","B","15",magnetic_compass,matrix,11
"CRN19302","secret_alias","B","15",20_liters_of_water,matrix,12
"CRN19302","secret_alias","B","15",signal_flares,matrix,13
"CRN19302","secret_alias","B","15",first_aid_kit_including_injection_needle,matrix,14
"CRN19302","secret_alias","B","15",solarpowered_fm_receivertransmitter,matrix,15
